,gaze_confidence,gaze_x,gaze_y,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45,head_x,head_y,head_z,pose_1_x,pose_1_y,pose_1_confidence,pose_2_x,pose_2_y,pose_2_confidence,pose_3_x,pose_3_y,pose_3_confidence,pose_4_x,pose_4_y,pose_4_confidence,pose_5_x,pose_5_y,pose_5_confidence,pose_6_x,pose_6_y,pose_6_confidence,pose_7_x,pose_7_y,pose_7_confidence
10,0.88,0.4405,0.6005,0.0,0.45,1.31,0.14,1.14,3.06,0.0,0.69,0.76,1.07,0.86,0.8,0.55,0.07,0.7,0.21,0.34,4.0000000000000074e-06,1.600000000000003e-05,8.100000000000002e-05,,,,,,,,,,,,,,,,,,,,,
11,0.88,0.441,0.5995,0.0,0.61,1.4,0.22,1.15,3.01,0.0,0.75,0.81,1.02,0.81,0.81,0.6,0.04,0.71,0.33,0.29,4.9000000000000087e-05,3.600000000000006e-05,0.0004,,,,,,,,,,,,,,,,,,,,,
12,0.88,0.442,0.601,0.0,0.52,1.39,0.24,1.09,3.21,0.0,0.75,0.84,1.07,0.63,0.78,0.5,0.0,0.59,0.38,0.36,0.00010000000000000018,4.9000000000000087e-05,4.9000000000000005e-05,,,,,,,,,,,,,,,,,,,,,
13,0.88,0.446,0.598,0.0,0.49,1.23,0.27,1.07,3.16,0.0,0.63,0.86,1.18,0.47,0.73,0.39,0.0,0.59,0.46,0.49,0.00014400000000000025,2.5000000000000045e-05,0.0002889999999999999,,,,,,,,,,,,,,,,,,,,,
14,0.88,0.447,0.5945,0.0,0.42,1.23,0.13,1.04,3.3,0.0,0.49,0.87,1.33,0.5,0.72,0.25,0.0,0.45,0.33,0.57,0.00010000000000000018,1.0000000000000019e-06,4.900000000000004e-05,,,,,,,,,,,,,,,,,,,,,
15,0.88,0.4505,0.5925,0.0,0.57,1.07,0.21,1.0,3.25,0.0,0.44,0.8,1.32,0.65,0.77,0.22,0.0,0.29,0.28,0.4,3.600000000000006e-05,8.099999999999964e-05,9.999999999999949e-07,,,,,,,,,,,,,,,,,,,,,
16,0.88,0.4485,0.593,0.0,0.54,1.23,0.26,0.91,3.4,0.0,0.41,0.72,1.29,0.79,0.79,0.27,0.0,0.12,0.22,0.25,9.000000000000015e-06,3.599999999999973e-05,9.999999999999949e-07,,,,,,,,,,,,,,,,,,,,,
17,0.88,0.4485,0.592,0.0,0.36,1.32,0.33,0.87,3.47,0.0,0.44,0.65,1.2,0.75,0.73,0.19,0.0,0.0,0.36,0.27,2.4999999999999767e-05,1.0000000000000019e-06,9.999999999999949e-07,,,,,,,,,,,,,,,,,,,,,
18,0.88,0.4495,0.5905,0.0,0.16,1.5,0.32,0.87,3.47,0.0,0.47,0.68,1.24,0.72,0.62,0.15,0.0,0.0,0.42,0.32,4.0000000000000074e-06,2.4999999999999767e-05,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
19,0.88,0.4515,0.591,0.0,0.05,1.56,0.19,0.94,3.5,0.0,0.56,0.72,1.33,0.66,0.63,0.06,0.0,0.04,0.51,0.22,1.0000000000000019e-06,1.600000000000003e-05,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
20,0.88,0.4535,0.591,0.0,0.05,1.53,0.24,1.01,3.46,0.02,0.61,0.77,1.39,0.64,0.58,0.12,0.0,0.04,0.43,0.16,1.0000000000000019e-06,3.600000000000006e-05,0.0,,,,,,,,,,,,,,,,,,,,,
21,0.88,0.456,0.591,0.0,0.0,1.5,0.22,1.16,3.69,0.05,0.6,0.85,1.43,0.59,0.6,0.17,0.0,0.04,0.38,0.11,1.0000000000000019e-06,6.400000000000012e-05,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
22,0.88,0.4595,0.589,0.0,0.0,1.3,0.26,1.31,3.59,0.1,0.54,1.0,1.43,0.63,0.55,0.16,0.07,0.0,0.31,0.3,1.600000000000003e-05,9.999999999999963e-05,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
23,0.88,0.4615,0.586,0.0,0.0,1.21,0.19,1.45,3.72,0.08,0.73,1.28,1.53,0.63,0.46,0.1,0.15,0.03,0.22,0.29,1.600000000000003e-05,4.9000000000000087e-05,8.999999999999995e-06,,,,,,,,,,,,,,,,,,,,,
24,0.88,0.463,0.5875,0.0,0.0,1.15,0.12,1.51,3.42,0.04,0.99,1.57,1.58,0.51,0.34,0.0,0.2,0.03,0.12,0.32,4.9000000000000087e-05,1.0000000000000019e-06,4.0000000000000074e-06,,,,,,,,,,,,,,,,,,,,,
25,0.88,0.4645,0.5895,0.0,0.0,1.33,0.05,1.57,3.37,0.0,1.34,1.82,1.64,0.31,0.18,0.0,0.14,0.03,0.02,0.18,3.599999999999973e-05,1.600000000000003e-05,3.599999999999998e-05,,,,,,,,,,,,,,,,,,,,,
26,0.88,0.46599999999999997,0.592,0.0,0.0,1.44,0.0,1.62,3.06,0.0,1.4,1.94,1.67,0.18,0.11,0.0,0.09,0.0,0.03,0.14,3.600000000000006e-05,3.600000000000006e-05,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
27,0.88,0.46799999999999997,0.593,0.0,0.0,1.44,0.0,1.75,3.06,0.02,1.46,2.07,1.69,0.1,0.03,0.0,0.09,0.0,0.03,0.08,9.000000000000015e-06,2.4999999999999906e-05,2.500000000000001e-05,,,,,,,,,,,,,,,,,,,,,
28,0.88,0.4685,0.5945,0.0,0.0,1.32,0.0,1.84,2.94,0.02,1.5,2.17,1.65,0.13,0.03,0.0,0.13,0.01,0.09,0.02,9.000000000000015e-06,4.0000000000000074e-06,9.999999999999983e-07,,,,,,,,,,,,,,,,,,,,,
29,0.88,0.46799999999999997,0.595,0.0,0.0,1.24,0.0,1.91,3.06,0.06,1.55,2.28,1.53,0.12,0.03,0.0,0.22,0.11,0.08,0.07,4.0000000000000074e-06,1.5999999999999918e-05,4e-06,,,,,,,,,,,,,,,,,,,,,
30,0.88,0.46799999999999997,0.5895,0.0,0.0,1.31,0.0,1.99,3.29,0.06,1.48,2.42,1.47,0.18,0.03,0.0,0.3,0.25,0.08,0.13,0.0002250000000000004,0.0,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
31,0.88,0.46799999999999997,0.586,0.0,0.0,1.44,0.0,2.09,3.7,0.11,1.44,2.62,1.38,0.25,0.05,0.0,0.41,0.29,0.02,0.13,0.0001439999999999996,4.0000000000000074e-06,2.499999999999999e-05,,,,,,,,,,,,,,,,,,,,,
32,0.88,0.4685,0.583,0.0,0.0,1.55,0.0,2.14,3.65,0.07,1.56,2.78,1.41,0.24,0.07,0.0,0.44,0.3,0.07,0.16,0.00012100000000000022,4.0000000000000074e-06,9e-06,,,,,,,,,,,,,,,,,,,,,
33,0.88,0.4685,0.586,0.0,0.0,1.5,0.0,2.11,3.52,0.06,1.72,2.88,1.4,0.25,0.15,0.0,0.43,0.31,0.09,0.1,2.5000000000000045e-05,1.0000000000000019e-06,1.6e-05,,,,,,,,,,,,,,,,,,,,,
34,0.88,0.46950000000000003,0.5885,0.0,0.0,1.41,0.0,2.06,3.12,0.01,1.8,2.92,1.31,0.18,0.17,0.0,0.35,0.4,0.17,0.1,6.400000000000012e-05,1.5999999999999918e-05,2.5e-05,,,,,,,,,,,,,,,,,,,,,
35,0.88,0.471,0.5915,0.0,0.0,1.21,0.0,2.08,3.05,0.01,1.82,2.95,1.2,0.17,0.22,0.0,0.29,0.4,0.12,0.01,3.600000000000006e-05,9.000000000000015e-06,9e-06,,,,,,,,,,,,,,,,,,,,,
36,0.88,0.4715,0.5895,0.0,0.0,1.15,0.0,2.09,2.9,0.0,1.86,3.0,1.1,0.1,0.16,0.0,0.25,0.37,0.1,0.0,2.5000000000000045e-05,1.0000000000000019e-06,1e-06,,,,,,,,,,,,,,,,,,,,,
37,0.88,0.472,0.592,0.0,0.0,1.24,0.0,2.17,3.02,0.0,1.94,3.06,1.08,0.04,0.1,0.0,0.22,0.33,0.0,0.0,4.9000000000000087e-05,1.0000000000000019e-06,8.999999999999995e-06,,,,,,,,,,,,,,,,,,,,,
38,0.88,0.473,0.5945,0.0,0.0,1.44,0.0,2.2,3.22,0.0,1.95,3.08,1.05,0.02,0.09,0.0,0.2,0.28,0.02,0.0,3.599999999999973e-05,9.000000000000015e-06,9.000000000000005e-06,,,,,,,,,,,,,,,,,,,,,
39,0.88,0.473,0.595,0.0,0.0,1.5,0.0,2.23,3.41,0.0,1.99,3.09,1.06,0.02,0.09,0.0,0.14,0.37,0.02,0.06,1.0000000000000019e-06,1.0000000000000019e-06,0.0,,,,,,,,,,,,,,,,,,,,,
40,0.88,0.4725,0.594,0.0,0.0,1.4,0.0,2.17,3.46,0.0,1.98,3.09,0.99,0.02,0.08,0.0,0.17,0.5,0.03,0.06,0.0,1.0000000000000019e-06,9.000000000000005e-06,,,,,,,,,,,,,,,,,,,,,
41,0.88,0.472,0.592,0.0,0.0,1.31,0.0,2.1,3.34,0.0,1.92,3.11,0.95,0.0,0.02,0.0,0.19,0.73,0.0,0.09,9.000000000000015e-06,4.0000000000000074e-06,3.9999999999999964e-06,,,,,,,,,,,,,,,,,,,,,
42,0.88,0.4715,0.5905,0.0,0.0,1.3,0.0,2.06,3.2,0.0,1.84,3.11,0.96,0.0,0.02,0.0,0.26,0.69,0.03,0.11,2.4999999999999767e-05,4.0000000000000074e-06,1e-06,,,,,,,,,,,,,,,,,,,,,
43,0.88,0.4715,0.5915,0.0,0.0,1.34,0.0,2.08,3.05,0.0,1.74,3.05,1.02,0.11,0.04,0.0,0.23,0.57,0.04,0.19,8.99999999999985e-06,1.0000000000000019e-06,4e-06,,,,,,,,,,,,,,,,,,,,,
44,0.88,0.472,0.591,0.0,0.0,1.42,0.0,2.11,3.12,0.0,1.6,2.95,0.98,0.17,0.04,0.0,0.21,0.39,0.04,0.16,3.9999999999998965e-06,9.000000000000015e-06,9.999999999999983e-07,,,,,,,,,,,,,,,,,,,,,
45,0.88,0.4715,0.5905,0.0,0.0,1.45,0.0,2.12,3.15,0.0,1.39,2.84,0.88,0.2,0.02,0.0,0.2,0.31,0.01,0.08,1.600000000000003e-05,0.0,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
46,0.88,0.471,0.5895,0.0,0.0,1.41,0.0,2.06,3.21,0.0,1.25,2.79,0.89,0.1,0.0,0.0,0.17,0.3,0.0,0.1,3.600000000000006e-05,0.0,8.999999999999995e-06,,,,,,,,,,,,,,,,,,,,,
47,0.88,0.4715,0.5875,0.0,0.0,1.43,0.0,2.05,3.19,0.0,1.19,2.79,0.96,0.06,0.03,0.0,0.18,0.33,0.04,0.14,2.5000000000000045e-05,1.0000000000000019e-06,9.999999999999983e-07,,,,,,,,,,,,,,,,,,,,,
48,0.88,0.4735,0.5875,0.0,0.0,1.39,0.0,2.05,3.19,0.0,1.26,2.87,0.95,0.08,0.03,0.0,0.19,0.39,0.1,0.16,1.0000000000000019e-06,3.600000000000006e-05,0.0,,,,,,,,,,,,,,,,,,,,,
49,0.88,0.474,0.5905,0.0,0.0,1.41,0.0,2.15,3.33,0.0,1.46,3.0,0.94,0.06,0.03,0.0,0.24,0.44,0.19,0.1,8.100000000000014e-05,1.0000000000000019e-06,4e-06,,,,,,,,,,,,,,,,,,,,,
50,0.88,0.475,0.593,0.0,0.0,1.42,0.0,2.23,3.37,0.0,1.64,3.11,1.0,0.1,0.0,0.0,0.25,0.58,0.24,0.08,8.099999999999964e-05,1.0000000000000019e-06,9.999999999999983e-07,,,,,,,,,,,,,,,,,,,,,
51,0.88,0.4745,0.5915,0.0,0.0,1.44,0.0,2.32,3.55,0.0,1.75,3.18,1.1,0.09,0.03,0.0,0.26,0.66,0.23,0.08,4.89999999999997e-05,1.0000000000000019e-06,0.0,,,,,,,,,,,,,,,,,,,,,
52,0.88,0.475,0.5915,0.0,0.0,1.5,0.0,2.38,3.42,0.0,1.72,3.18,1.15,0.16,0.07,0.0,0.29,0.76,0.18,0.14,0.0,0.0,4e-06,,,,,,,,,,,,,,,,,,,,,
53,0.88,0.476,0.591,0.0,0.0,1.53,0.0,2.37,3.57,0.0,1.69,3.16,1.17,0.14,0.16,0.0,0.33,0.75,0.23,0.22,0.0,2.4999999999999906e-05,4e-06,,,,,,,,,,,,,,,,,,,,,
54,0.88,0.477,0.59,0.0,0.0,1.58,0.0,2.34,3.51,0.0,1.72,3.13,1.28,0.12,0.23,0.0,0.35,0.76,0.34,0.29,1.600000000000003e-05,4.0000000000000074e-06,4.0000000000000074e-06,,,,,,,,,,,,,,,,,,,,,
55,0.88,0.477,0.5895,0.0,0.0,1.67,0.0,2.33,3.71,0.0,1.76,3.09,1.39,0.05,0.21,0.0,0.31,0.76,0.35,0.26,0.0,1.0000000000000019e-06,9.999999999999949e-07,,,,,,,,,,,,,,,,,,,,,
56,0.88,0.4775,0.5895,0.0,0.0,1.58,0.0,2.29,3.79,0.0,1.74,3.05,1.48,0.08,0.18,0.0,0.29,0.74,0.34,0.29,4.0000000000000074e-06,0.0,4.0000000000000074e-06,,,,,,,,,,,,,,,,,,,,,
57,0.88,0.477,0.5875,0.0,0.0,1.53,0.0,2.32,3.93,0.0,1.77,3.05,1.43,0.06,0.11,0.0,0.28,0.66,0.34,0.25,6.400000000000012e-05,1.0000000000000019e-06,8.999999999999995e-06,,,,,,,,,,,,,,,,,,,,,
58,0.88,0.477,0.5865,0.0,0.0,1.44,0.0,2.37,4.01,0.0,1.72,3.07,1.32,0.06,0.11,0.0,0.35,0.65,0.41,0.32,9.000000000000015e-06,0.0,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
59,0.88,0.4785,0.5845,0.0,0.0,1.42,0.0,2.49,3.9,0.0,1.81,3.11,1.28,0.05,0.05,0.0,0.36,0.64,0.41,0.29,2.5000000000000045e-05,3.600000000000006e-05,2.4999999999999974e-05,,,,,,,,,,,,,,,,,,,,,
60,0.88,0.479,0.5855,0.0,0.0,1.49,0.0,2.52,3.86,0.0,1.74,3.13,1.32,0.05,0.03,0.0,0.41,0.7,0.34,0.25,1.600000000000003e-05,4.0000000000000074e-06,9.000000000000005e-06,,,,,,,,,,,,,,,,,,,,,
61,0.88,0.48,0.585,0.0,0.0,1.66,0.0,2.54,3.79,0.0,1.71,3.1,1.37,0.05,0.07,0.0,0.4,0.73,0.34,0.12,0.0,1.5999999999999918e-05,4e-06,,,,,,,,,,,,,,,,,,,,,
62,0.88,0.482,0.584,0.0,0.0,1.78,0.0,2.52,3.9,0.0,1.56,3.03,1.26,0.0,0.09,0.0,0.4,0.78,0.43,0.01,4.0000000000000074e-06,4.9000000000000087e-05,0.0,,,,,,,,,,,,,,,,,,,,,
63,0.88,0.4815,0.5805,0.0,0.0,1.89,0.08,2.38,3.97,0.08,1.35,2.66,1.1,0.0,0.09,0.0,0.36,0.64,0.6,0.02,0.00010000000000000018,1.0000000000000019e-06,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
64,0.88,0.4835,0.583,0.0,0.0,2.11,0.2,2.15,4.05,0.2,1.12,2.22,0.96,0.0,0.08,0.0,0.3,0.45,0.68,0.15,0.00010000000000000018,0.0001209999999999999,2.499999999999999e-05,,,,,,,,,,,,,,,,,,,,,
65,0.88,0.491,0.5835,0.0,0.0,2.37,0.35,1.89,4.0,0.24,0.81,1.78,1.07,0.03,0.06,0.0,0.32,0.15,0.76,0.15,4.0000000000000074e-06,0.0005290000000000003,3.6e-05,,,,,,,,,,,,,,,,,,,,,
66,0.88,0.486,0.586,0.0,0.0,2.35,0.46,1.72,3.85,0.17,0.63,1.6,1.19,0.11,0.05,0.0,0.31,0.08,0.68,0.14,3.600000000000006e-05,0.000225,6.4e-05,,,,,,,,,,,,,,,,,,,,,
67,0.88,0.488,0.5865,0.0,0.0,2.27,0.34,1.6,3.57,0.06,0.51,1.49,1.38,0.11,0.03,0.0,0.39,0.0,0.54,0.0,1.0000000000000019e-06,6.4e-05,3.599999999999998e-05,,,,,,,,,,,,,,,,,,,,,
68,0.88,0.4885,0.586,0.0,0.0,2.04,0.22,1.66,3.46,0.05,0.61,1.52,1.37,0.07,0.07,0.0,0.35,0.02,0.52,0.0,4.0000000000000074e-06,8.999999999999975e-06,0.00010000000000000005,,,,,,,,,,,,,,,,,,,,,
69,0.88,0.4905,0.588,0.0,0.0,2.0,0.03,1.92,3.08,0.05,0.86,1.71,1.29,0.0,0.09,0.0,0.26,0.29,0.6,0.0,3.600000000000006e-05,9.000000000000015e-06,3.599999999999998e-05,,,,,,,,,,,,,,,,,,,,,
70,0.88,0.4975,0.5945,0.0,0.0,1.76,0.03,2.18,2.99,0.02,1.03,1.93,1.33,0.0,0.06,0.0,0.09,0.55,0.71,0.0,0.0008409999999999998,0.000576,3.599999999999998e-05,,,,,,,,,,,,,,,,,,,,,
71,0.88,0.5005,0.5975,0.0,0.0,1.77,0.1,2.38,2.59,0.0,1.17,2.03,1.4,0.0,0.03,0.0,0.02,0.8,0.53,0.0,0.00012100000000000022,6.399999999999997e-05,6.4e-05,,,,,,,,,,,,,,,,,,,,,
72,0.88,0.503,0.599,0.0,0.0,1.66,0.14,2.42,2.48,0.0,1.14,2.08,1.55,0.0,0.0,0.0,0.04,0.73,0.41,0.0,4.9000000000000087e-05,8.100000000000002e-05,0.00010000000000000005,,,,,,,,,,,,,,,,,,,,,
73,0.88,0.504,0.602,0.01,0.0,1.7,0.14,2.47,2.14,0.0,1.21,2.15,1.57,0.0,0.0,0.06,0.07,0.72,0.23,0.0,3.600000000000006e-05,9e-06,1.5999999999999972e-05,,,,,,,,,,,,,,,,,,,,,
74,0.88,0.5085,0.6035,0.01,0.0,1.71,0.04,2.48,1.92,0.0,1.19,2.16,1.58,0.0,0.0,0.06,0.09,0.66,0.14,0.0,0.0,0.000169,3.600000000000006e-05,,,,,,,,,,,,,,,,,,,,,
75,0.88,0.5115,0.599,0.01,0.0,1.69,0.0,2.52,2.08,0.0,1.28,2.22,1.61,0.0,0.0,0.06,0.2,0.64,0.01,0.0,0.00010000000000000018,4.899999999999999e-05,4.899999999999989e-05,,,,,,,,,,,,,,,,,,,,,
76,0.88,0.519,0.596,0.0,0.0,1.49,0.0,2.6,2.4,0.01,1.32,2.3,1.56,0.0,0.0,0.0,0.25,0.66,0.0,0.0,0.00010000000000000018,0.000361,0.0004000000000000002,,,,,,,,,,,,,,,,,,,,,
77,0.88,0.526,0.595,0.0,0.0,1.32,0.0,2.62,2.68,0.01,1.31,2.38,1.42,0.0,0.0,0.0,0.24,0.62,0.0,0.0,8.100000000000014e-05,0.00048399999999999995,0.000256,,,,,,,,,,,,,,,,,,,,,
78,0.88,0.5315,0.6025,0.0,0.0,1.33,0.0,2.64,2.8,0.07,1.22,2.39,1.39,0.0,0.0,0.0,0.15,0.6,0.0,0.0,0.0004000000000000007,0.00016899999999999993,9.99999999999999e-05,,,,,,,,,,,,,,,,,,,,,
79,0.88,0.53,0.604,0.0,0.0,1.42,0.0,2.45,2.8,0.06,1.12,2.29,1.52,0.0,0.0,0.0,0.07,0.51,0.04,0.0,4.0000000000000074e-06,3.59999999999999e-05,8.100000000000014e-05,,,,,,,,,,,,,,,,,,,,,
80,0.88,0.5105,0.604,0.04,0.0,1.55,0.0,2.32,2.92,0.06,1.0,2.24,1.64,0.0,0.0,0.0,0.03,0.59,0.08,0.0,1.600000000000003e-05,0.0046240000000000005,0.00016899999999999958,,,,,,,,,,,,,,,,,,,,,
81,0.88,0.5055,0.609,0.05,0.0,1.59,0.0,2.2,2.85,0.0,0.94,2.18,1.67,0.0,0.0,0.0,0.0,0.64,0.08,0.0,0.0002889999999999986,0.00032400000000000007,2.5000000000000045e-05,,,,,,,,,,,,,,,,,,,,,
82,0.88,0.5035,0.6135,0.09,0.0,1.65,0.0,2.19,2.72,0.0,0.85,2.2,1.58,0.0,0.0,0.01,0.0,0.65,0.04,0.0,0.00014400000000000025,2.500000000000001e-05,0.00012100000000000022,,,,,,,,,,,,,,,,,,,,,
83,0.82,0.501,0.6185,0.05,0.0,1.7,0.0,2.21,2.61,0.0,0.85,2.2,1.59,0.0,0.0,0.13,0.0,0.5,0.02,0.0,0.00019600000000000035,4.899999999999999e-05,1.600000000000003e-05,,,,,,,,,,,,,,,,,,,,,
84,0.82,0.4985,0.6194999999999999,0.04,0.0,1.61,0.0,2.46,2.7,0.15,0.9,2.21,1.39,0.0,0.0,0.13,0.05,0.49,0.07,0.0,2.5000000000000045e-05,4.899999999999999e-05,9.000000000000015e-06,,,,,,,,,,,,,,,,,,,,,
85,0.82,0.543,0.5935,0.0,0.0,1.65,0.0,2.63,2.89,0.16,0.92,2.19,1.35,0.0,0.0,0.11,0.05,0.51,0.11,0.0,0.005041000000000001,0.017689000000000003,0.007569000000000001,,,,,,,,,,,,,,,,,,,,,
86,0.88,0.533,0.611,0.0,0.0,1.53,0.0,2.69,3.03,0.16,1.02,2.19,1.39,0.0,0.0,0.02,0.05,0.61,0.09,0.0,0.0024999999999999988,0.0012250000000000002,0.0006759999999999997,,,,,,,,,,,,,,,,,,,,,
87,0.88,0.5305,0.6214999999999999,0.13,0.0,1.78,0.0,2.5,2.82,0.01,1.06,2.2,1.64,0.0,0.0,0.02,0.0,0.55,0.04,0.0,0.0007840000000000014,6.4e-05,0.000225,,,,,,,,,,,,,,,,,,,,,
88,0.88,0.5295,0.6225,0.55,0.16,1.77,0.09,2.25,2.66,0.0,1.17,2.19,1.72,0.0,0.0,0.21,0.0,0.52,0.0,0.0,2.5000000000000045e-05,8.999999999999975e-06,0.00012100000000000022,,,,,,,,,,,,,,,,,,,,,
89,0.88,0.5185,0.623,0.91,0.38,1.82,0.09,2.12,2.33,0.0,1.09,2.18,1.6,0.0,0.0,0.31,0.0,0.62,0.03,0.0,0.00012100000000000022,0.002025,0.00016899999999999958,,,,,,,,,,,,,,,,,,,,,
90,0.88,0.5245,0.6075,1.08,0.46,1.5,0.09,1.99,2.26,0.0,1.03,2.14,1.57,0.0,0.0,0.31,0.0,0.79,0.03,0.0,0.0014440000000000026,0.0004840000000000001,0.00010000000000000018,,,,,,,,,,,,,,,,,,,,,
91,0.88,0.531,0.602,0.85,0.29,1.43,0.0,2.0,2.19,0.0,0.98,2.22,1.49,0.0,0.0,0.12,0.0,0.87,0.03,0.0,0.00048399999999999843,0.000529,4.9000000000000087e-05,,,,,,,,,,,,,,,,,,,,,
92,0.88,0.5355,0.5995,0.49,0.08,1.47,0.0,2.03,2.41,0.0,0.96,2.29,1.51,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.00014400000000000025,0.000256,0.00028899999999999954,,,,,,,,,,,,,,,,,,,,,
93,0.88,0.5375,0.5975,0.22,0.0,1.77,0.0,2.1,2.54,0.0,0.89,2.32,1.44,0.0,0.0,0.0,0.0,0.7,0.0,0.0,6.400000000000012e-05,3.600000000000006e-05,8.100000000000014e-05,,,,,,,,,,,,,,,,,,,,,
94,0.88,0.5385,0.5955,0.13,0.0,1.75,0.0,2.14,2.55,0.0,0.81,2.23,1.33,0.0,0.0,0.0,0.0,0.59,0.0,0.0,6.400000000000012e-05,8.999999999999932e-06,0.00016899999999999993,,,,,,,,,,,,,,,,,,,,,
95,0.88,0.54,0.5955,0.16,0.0,1.69,0.0,2.08,2.28,0.0,0.85,2.16,1.17,0.0,0.0,0.0,0.0,0.56,0.0,0.0,1.0000000000000019e-06,1.0000000000000019e-06,6.399999999999989e-05,,,,,,,,,,,,,,,,,,,,,
96,0.88,0.541,0.5945,0.13,0.0,1.52,0.0,2.06,2.16,0.0,0.93,2.17,0.94,0.0,0.0,0.0,0.0,0.51,0.0,0.0,4.9000000000000087e-05,4.0000000000000074e-06,0.0004000000000000002,,,,,,,,,,,,,,,,,,,,,
97,0.88,0.539,0.592,0.03,0.0,1.37,0.0,2.06,2.14,0.0,1.04,2.21,0.86,0.0,0.0,0.0,0.0,0.5,0.0,0.1,9.000000000000015e-06,2.5000000000000045e-05,0.00014399999999999992,,,,,,,,,,,,,,,,,,,,,
98,0.88,0.538,0.59,0.0,0.0,1.24,0.0,2.09,2.26,0.0,1.18,2.28,0.95,0.0,0.0,0.0,0.0,0.54,0.0,0.16,4.89999999999997e-05,2.4999999999999906e-05,3.600000000000006e-05,,,,,,,,,,,,,,,,,,,,,
99,0.88,0.534,0.5855,0.0,0.0,1.07,0.0,2.06,2.3,0.01,1.32,2.24,1.17,0.0,0.06,0.0,0.0,0.75,0.0,0.16,0.00014400000000000025,0.000256,1.5999999999999972e-05,,,,,,,,,,,,,,,,,,,,,
